DAY ID MONTHLY_REVENUE VAT_PAYMENT EBT MONTHLY_WAGE_PAYMENT TOTAL_FINANCIAL_PAYMENT PHYSICAL_CAPITAL_DEPRECIATION_COST DIVIDEND_PAYMENT CAPITAL_TAX_PAYMENT NET_EARNINGS
 120 9 0.000000 0.000000 -119.422559 80.000000 4.700337 34.722222 0.000000 0.000000 -119.422559
 120 2 204.422289 48.650921 -110.118539 270.000000 0.000000 34.722222 -0.000000 0.000000 -110.118539
 120 1 396.718385 71.581038 -18.906390 270.000000 0.508322 34.722222 -0.000000 0.000000 -18.906390
 120 16 0.000000 11.701703 -71.617372 80.000000 3.701962 34.722222 0.000000 0.000000 -71.617372
 120 15 33.262858 98.378828 42.839948 140.000000 4.593352 34.722222 171.359792 4.283995 38.555953
 120 7 45.767350 44.567857 -137.609747 280.000000 1.158951 34.722222 -0.000000 0.000000 -137.609747
 120 8 32.082688 4.652102 -157.272768 140.000000 1.158954 34.722222 0.000000 0.000000 -157.272768
 120 13 221.307481 81.958433 2.390512 280.000000 1.158952 34.722222 9.562046 0.239051 2.151460
 120 14 283.880357 81.958433 2.390512 280.000000 1.158951 34.722222 9.562046 0.239051 2.151460
 120 6 25.642846 47.271531 -126.795054 280.000000 1.158954 34.722222 -0.000000 0.000000 -126.795054
 120 5 49.185368 63.704266 -61.064113 280.000000 1.158954 34.722222 -0.000000 0.000000 -61.064113
 120 11 147.355427 81.958433 2.390512 280.000000 1.158951 34.722222 9.562046 0.239051 2.151460
 120 12 69.040736 69.756706 -36.854352 280.000000 1.158954 34.722222 -0.000000 0.000000 -36.854352
 120 3 34.383184 81.535707 4.135775 270.000000 0.741728 34.722222 16.543102 0.413578 3.722198
 120 4 8.208933 12.485255 -185.522930 200.000000 0.741728 34.722222 0.000000 0.000000 -185.522930
 140 18 0.000000 1.398562 -49.127975 20.000000 0.000000 34.722222 0.000000 0.000000 -49.127975
 140 17 0.000000 0.000000 -74.722222 40.000000 0.000000 34.722222 0.000000 0.000000 -74.722222
